"","custAge","profession","marital","schooling","default","contact","month","campaign","previous","poutcome","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","pmonths","pastEmail","responded","KNN_prediction"
"106",0.144736842105263,2,3,2,1,1,3,0,0,2,0.174590802805926,0.866108786610879,0.0183631829517116,0.203780718336483,1,0,1,"2"
"109",0.486842105263158,2,2,1,1,1,2,0,0.166666666666667,3,0.199532346063913,0.744769874476987,0.0183631829517116,0.226465028355386,0.0002002002002002,0.222222222222222,2,"2"
"205",0.118421052631579,4,3,3,1,1,1,0,0.166666666666667,1,0.603273577552611,0.677824267782427,0.00022670596236681,0.170510396975423,1,0,1,"2"
"239",0.276315789473684,2,1,1,1,1,2,0.0256410256410256,0.166666666666667,3,0.0693686671862866,0.878661087866109,0.0349127182044888,0.203780718336483,0.0001001001001001,0,2,"2"
"305",0.881578947368421,2,2,1,2,1,1,0,0.333333333333333,3,0.603273577552611,0.677824267782427,0.00181364769893448,0.170510396975423,0.0002002002002002,0.333333333333333,2,"2"
"403",0.0789473684210526,4,3,2,1,1,3,0,0.166666666666667,1,0.26968043647701,0.192468619246862,0.1571072319202,0.512287334593573,1,0.166666666666667,1,"2"
"441",0.0921052631578947,1,3,2,1,1,2,0,0,2,0.0896336710833997,1,0.0238041260485151,0.203780718336483,1,0,1,"2"
"540",0.413660634655429,2,2,1,1,1,3,0,0.333333333333333,3,0.652766952455187,0.451882845188284,0.0138290637043754,0.170510396975423,0.0001001001001001,0.777777777777778,2,"2"
"587",0.171052631578947,4,3,3,2,1,1,0,0.166666666666667,1,0.340607950116917,0.154811715481171,0.175923826796645,0.512287334593573,1,0.166666666666667,1,"2"
"592",0.236842105263158,1,3,2,1,1,3,0,0.166666666666667,3,0.722525331254876,0.460251046025105,0.0238041260485151,0.10586011342155,0.0002335668998999,0.111111111111111,2,"2"
"925",0.0921052631578947,1,3,1,1,1,3,0,0,2,0,0.811715481171548,0.0555429607798685,0.425708884688089,1,0,1,"2"
"1029",0.0699290243919039,4,3,3,1,1,2,0,0.166666666666667,3,0.455183164458303,0.669456066945607,0.000680117887100431,0.170510396975423,0.0003003003003003,0.111111111111111,2,"2"
"1222",0.513157894736842,1,2,2,1,1,3,0,0,2,0.296960249415432,0.418410041841004,0.141917932441623,0.425708884688089,1,0,2,"2"
"1300",0.131578947368421,1,3,1,1,1,2,0,0,2,0.0693686671862866,0.878661087866109,0.0419406030378599,0.203780718336483,1,0,1,"2"
"1437",0.382599256967732,1,2,1,1,1,2,0,0.333333333333333,3,0.935307872174592,0.0543933054393304,0.0795737927907504,0,0.0001001001001001,0.111111111111111,2,"2"
"2012",0.184210526315789,2,2,1,1,1,2,0,0.833333333333333,3,0.778643803585348,0.556485355648536,0.0555429607798685,0,0.0002002002002002,0.277777777777778,2,"2"
"2078",0.312384702906335,2,2,1,1,1,2,0,0.333333333333333,3,0.0693686671862866,0.878661087866109,0.0396735434141918,0.203780718336483,0.0001001001001001,0.333333333333333,1,"2"
"2083",0.276315789473684,1,1,2,1,1,2,0,0.166666666666667,3,0.455183164458303,0.669456066945607,0.00362729539786897,0.170510396975423,0.0004337671001001,0.222222222222222,1,"2"
"2115",0.421052631578947,2,2,1,1,1,2,0.0512820512820513,0.166666666666667,1,0.0693686671862866,0.878661087866109,0.0303785989571526,0.203780718336483,1,0.166666666666667,1,"2"
"2438",0.118421052631579,2,3,2,1,1,2,0,0.166666666666667,3,0.455183164458303,0.669456066945607,0.00408070732260259,0.170510396975423,0.0002002002002002,0.222222222222222,2,"2"
"2484",0.236842105263158,1,3,1,1,1,3,0,0,2,0,0.811715481171548,0.0566764905917026,0.425708884688089,1,0,1,"2"
"2771",0.578947368421053,3,2,1,2,1,2,0.0256410256410256,0,2,0.0896336710833997,1,0.0238041260485151,0.203780718336483,1,0,2,"2"
"2948",0.184210526315789,1,3,2,1,1,1,0.0256410256410256,0,2,0.603273577552611,0.677824267782427,0.00022670596236681,0.170510396975423,1,0,2,"2"
"3046",0.155755840930489,1,3,1,1,1,3,0.102564102564103,0.333333333333333,3,0.652766952455187,0.451882845188284,0.0151892994785763,0.170510396975423,0.0002002002002002,0.333333333333333,1,"2"
"3067",0.171052631578947,1,3,1,1,1,1,0,0.166666666666667,3,0.340607950116917,0.154811715481171,0.165722058490138,0.512287334593573,0.0001668335005005,0.166666666666667,2,"2"
"3198",0.485432016607299,4,3,2,1,1,3,0.0512820512820513,0.333333333333333,3,0.784879189399847,0.439330543933054,0.0569031965540694,0.10586011342155,0.0002002002002002,0.111111111111111,2,"2"
"3278",0.434210526315789,2,2,1,1,1,3,0.0512820512820513,0.5,3,1,0,0.0943096803445931,0,0.0002002002002002,0.5,1,"2"
"3298",0.544835506125106,1,2,1,1,1,3,0.0256410256410256,0.166666666666667,3,0,0.811715481171548,0.0555429607798685,0.425708884688089,0.0001334667997998,0.166666666666667,2,"2"
"3434",0.184210526315789,2,3,2,1,1,2,0,0.5,3,0.778643803585348,0.556485355648536,0.0566764905917026,0,0.0002002002002002,0.5,2,"2"
"3476",0.105263157894737,2,3,1,1,1,3,0,0.166666666666667,3,0.26968043647701,0.192468619246862,0.144184992065291,0.512287334593573,0.0001001001001001,0.0555555555555556,2,"2"
"3572",0.197368421052632,2,2,1,1,1,3,0.0256410256410256,0.333333333333333,3,0.722525331254876,0.460251046025105,0.0301518929947858,0.10586011342155,0.0004004004004004,0.222222222222222,2,"2"
"3596",0.0131578947368421,4,3,1,1,1,2,0,0.333333333333333,3,0.455183164458303,0.669456066945607,0.00476082520970302,0.170510396975423,0.0001668335005005,0.111111111111111,2,"2"
"3664",0.574727663952619,1,2,1,1,1,3,0,0.166666666666667,1,1,0,0.0943096803445931,0,1,0.0555555555555556,1,"2"
"3717",0.842105263157895,3,2,2,2,1,2,0.0512820512820513,0.666666666666667,3,0.778643803585348,0.556485355648536,0.0555429607798685,0,0.0001001001001001,0.444444444444444,1,"2"
"3722",0.227322409467354,2,3,1,1,1,2,0.0256410256410256,0.166666666666667,3,0.778643803585348,0.556485355648536,0.0555429607798685,0,0.0002002002002002,0.166666666666667,2,"2"
"3905",0.302631578947368,2,1,2,1,1,3,0.0256410256410256,0.5,3,0.711613406079503,0.523012552301255,0.0614373158014056,0.10586011342155,0.0002002002002002,0.5,2,"2"
"3909",0.263157894736842,1,2,1,1,1,2,0.0256410256410256,0,2,0.778643803585348,0.556485355648536,0.0555429607798685,0,1,0,1,"2"
"3912",0.236685884927672,4,3,1,1,1,3,0.0256410256410256,0.166666666666667,1,0.26968043647701,0.192468619246862,0.146678757651326,0.512287334593573,1,0.111111111111111,1,"2"
"3935",0.144736842105263,2,2,1,1,1,3,0.0256410256410256,0,2,0.296960249415432,0.418410041841004,0.141917932441623,0.425708884688089,1,0,1,"2"
"3996",0.544131648399611,3,2,1,1,1,2,0,0,2,0.0896336710833997,1,0.0240308320108819,0.203780718336483,1,0,2,"2"
"4243",0.289473684210526,1,2,2,1,1,1,0.0512820512820513,0,2,0.340607950116917,0.154811715481171,0.174790296984811,0.512287334593573,1,0,1,"2"
"4384",0.1525893780579,2,1,1,1,1,3,0.0256410256410256,0.166666666666667,3,0.784879189399847,0.439330543933054,0.0369530718657901,0.10586011342155,0.0001001001001001,0.111111111111111,2,"2"
"4414",0.421052631578947,2,2,1,1,1,3,0,0,2,0.174590802805926,0.866108786610879,0.0181364769893448,0.203780718336483,1,0,1,"2"
"4517",0.157894736842105,1,3,2,1,1,3,0,0.166666666666667,3,0.174590802805926,0.866108786610879,0.0199501246882793,0.203780718336483,0.0002002002002002,0.277777777777778,1,"2"
"4610",0.407894736842105,2,2,1,2,1,2,0.0512820512820513,0.333333333333333,3,0.455183164458303,0.669456066945607,0.00408070732260259,0.170510396975423,0.0002335668998999,0.555555555555556,1,"2"
"4615",0.184210526315789,2,3,1,1,1,1,0,0,2,0.340607950116917,0.154811715481171,0.174790296984811,0.512287334593573,1,0,2,"2"
"4789",0.171052631578947,2,2,1,1,1,1,0,0,2,0.340607950116917,0.154811715481171,0.174790296984811,0.512287334593573,1,0,1,"2"
"4867",0.200032501074676,1,3,2,1,1,2,0.0769230769230769,0,2,0.778643803585348,0.556485355648536,0.0555429607798685,0,1,0,1,"2"
"4954",0.25,1,3,2,1,1,2,0,0,2,0.935307872174592,0.0543933054393304,0.080027204715484,0,1,0,1,"2"
"5129",0.467648304180087,2,2,1,1,1,3,0,0.5,3,0.784879189399847,0.439330543933054,0.0578100204035366,0.10586011342155,0.0002002002002002,0.333333333333333,2,"2"
"5238",0.197368421052632,1,3,1,1,1,2,0,0,2,0.778643803585348,0.556485355648536,0.0555429607798685,0,1,0,1,"2"
"5246",0.328947368421053,1,3,1,1,1,2,0,0,2,0.0693686671862866,0.878661087866109,0.0315121287689866,0.203780718336483,1,0,2,"2"
"5362",0.342105263157895,3,3,1,1,1,3,0.0769230769230769,0,2,0.711613406079503,0.523012552301255,0.0593969621401043,0.10586011342155,1,0,2,"2"
"5376",0.328947368421053,2,2,1,1,1,3,0.0256410256410256,0.333333333333333,3,0,0.811715481171548,0.0462480163228293,0.425708884688089,0.0001001001001001,0.222222222222222,1,"2"
"5577",0.842105263157895,3,1,1,1,1,1,0,0.333333333333333,3,0.603273577552611,0.677824267782427,0.00204035366130129,0.170510396975423,0.0002002002002002,0.333333333333333,2,"2"
"5589",0.236842105263158,2,3,1,1,1,1,0,0.333333333333333,3,0.340607950116917,0.154811715481171,0.165722058490138,0.512287334593573,6.67334004004004e-05,0.444444444444444,2,"2"
"5603",0.321556700975559,2,2,1,1,2,2,0,0,2,0.622369446609512,0.435146443514644,0.989798231693494,0.877882797731568,1,0,1,"2"
"5618",0.276315789473684,1,2,1,1,1,2,0.0512820512820513,0.166666666666667,1,0.199532346063913,0.744769874476987,0.0149625935162095,0.226465028355386,1,0.111111111111111,1,"2"
"5641",0.170115250783885,1,3,2,1,1,2,0,0,2,0.778643803585348,0.556485355648536,0.0559963727046021,0,1,0,2,"2"
"5689",0.171052631578947,2,3,1,1,1,3,0,0.166666666666667,3,0.26968043647701,0.192468619246862,0.143278168215824,0.512287334593573,0.000367033700700701,0.0555555555555556,2,"2"
"5873",0.513157894736842,2,2,1,1,1,3,0,0,2,0.296960249415432,0.418410041841004,0.141917932441623,0.425708884688089,1,0,1,"2"
"5907",0.113837953906568,1,3,1,1,1,3,0,0,2,0.296960249415432,0.418410041841004,0.141917932441623,0.425708884688089,1,0,1,"2"
"5966",0.276315789473684,1,2,1,1,1,3,0,0.166666666666667,1,0.722525331254876,0.460251046025105,0.0194967127635457,0.10586011342155,1,0.0555555555555556,1,"2"
"6204",0.421052631578947,1,2,2,1,1,2,0.0256410256410256,0,2,0.935307872174592,0.0543933054393304,0.0698254364089776,0,1,0,1,"2"
"6253",0.210526315789474,1,3,1,1,2,1,0,0,2,0.340607950116917,0.154811715481171,0.165722058490138,0.512287334593573,1,0,1,"2"
"6646",0.0921052631578947,1,2,2,1,1,2,0,0,2,0.250194855806707,0.0334728033472802,0.203355248243029,0.512287334593573,1,0,2,"2"
"6713",0.351480134333806,4,3,2,1,1,3,0.0256410256410256,0.333333333333333,1,0.104442712392829,0.719665271966527,0.062117433688506,0.425708884688089,0.0004337671001001,0.444444444444444,2,"2"
"6793",0.447368421052632,2,2,1,1,2,3,0,0.333333333333333,3,0.652766952455187,0.451882845188284,0.00770800272047156,0.170510396975423,6.67334004004004e-05,0.333333333333333,2,"2"
"6941",0.539473684210526,1,1,1,1,1,3,0,0.166666666666667,3,0,0.811715481171548,0.0564497846293358,0.425708884688089,0.0001334667997998,0.166666666666667,2,"2"
"7148",0.210526315789474,1,2,2,1,1,2,0.0256410256410256,0,2,0.778643803585348,0.556485355648536,0.0562230786669689,0,1,0,1,"2"
"7182",0.105263157894737,1,3,2,1,1,3,0,0.833333333333333,3,0.711613406079503,0.523012552301255,0.0612106098390388,0.10586011342155,0.0002002002002002,0.833333333333333,2,"2"
"7230",0.263157894736842,1,3,1,1,1,2,0.0769230769230769,0.166666666666667,3,0.199532346063913,0.744769874476987,0.0172296531398776,0.226465028355386,0.0002002002002002,0.0555555555555556,2,"2"
"7251",0.506564592286669,3,2,1,1,1,2,0.0256410256410256,0.166666666666667,3,0.455183164458303,0.669456066945607,0.00408070732260259,0.170510396975423,0.0001668335005005,0.0555555555555556,2,"2"
"7283",0.0657894736842105,4,3,1,1,1,3,0,0.166666666666667,3,0.722525331254876,0.460251046025105,0.0258444797098164,0.10586011342155,0.000467133800800801,0.111111111111111,2,"2"
"7405",0.5,3,2,1,1,1,3,0,0.333333333333333,3,0,0.811715481171548,0.0564497846293358,0.425708884688089,0.0001001001001001,0.222222222222222,1,"2"
